,Country,ISO3 Code,Date,Price (EUR/MWhe)
63202,Norway,NOR,2015-01-01,27.57
63203,Norway,NOR,2015-01-02,27.9
63204,Norway,NOR,2015-01-03,27.62
63205,Norway,NOR,2015-01-04,28.27
63206,Norway,NOR,2015-01-05,33.9
63207,Norway,NOR,2015-01-06,29.17
63208,Norway,NOR,2015-01-07,29.66
63209,Norway,NOR,2015-01-08,27.67
63210,Norway,NOR,2015-01-09,27.51
63211,Norway,NOR,2015-01-10,26.45
63212,Norway,NOR,2015-01-11,26.2
63213,Norway,NOR,2015-01-12,28.24
63214,Norway,NOR,2015-01-13,28.45
63215,Norway,NOR,2015-01-14,28.85
63216,Norway,NOR,2015-01-15,27.49
63217,Norway,NOR,2015-01-16,27.57
63218,Norway,NOR,2015-01-17,27.7
63219,Norway,NOR,2015-01-18,28.24
63220,Norway,NOR,2015-01-19,32.31
63221,Norway,NOR,2015-01-20,30.98
63222,Norway,NOR,2015-01-21,32.44
63223,Norway,NOR,2015-01-22,33.87
63224,Norway,NOR,2015-01-23,38.62
63225,Norway,NOR,2015-01-24,28.34
63226,Norway,NOR,2015-01-25,28.6
63227,Norway,NOR,2015-01-26,28.6
63228,Norway,NOR,2015-01-27,29.16
63229,Norway,NOR,2015-01-28,27.54
63230,Norway,NOR,2015-01-29,27.76
63231,Norway,NOR,2015-01-30,30.26
63232,Norway,NOR,2015-01-31,28.06
63233,Norway,NOR,2015-02-01,27.97
63234,Norway,NOR,2015-02-02,32.02
63235,Norway,NOR,2015-02-03,36.59
63236,Norway,NOR,2015-02-04,43.0
63237,Norway,NOR,2015-02-05,36.34
63238,Norway,NOR,2015-02-06,30.41
63239,Norway,NOR,2015-02-07,27.01
63240,Norway,NOR,2015-02-08,27.28
63241,Norway,NOR,2015-02-09,28.0
63242,Norway,NOR,2015-02-10,28.23
63243,Norway,NOR,2015-02-11,28.7
63244,Norway,NOR,2015-02-12,28.33
63245,Norway,NOR,2015-02-13,28.31
63246,Norway,NOR,2015-02-14,27.39
63247,Norway,NOR,2015-02-15,26.38
63248,Norway,NOR,2015-02-16,27.58
63249,Norway,NOR,2015-02-17,27.92
63250,Norway,NOR,2015-02-18,27.04
63251,Norway,NOR,2015-02-19,25.96
63252,Norway,NOR,2015-02-20,25.82
63253,Norway,NOR,2015-02-21,25.89
63254,Norway,NOR,2015-02-22,25.57
63255,Norway,NOR,2015-02-23,25.77
63256,Norway,NOR,2015-02-24,25.86
63257,Norway,NOR,2015-02-25,26.4
63258,Norway,NOR,2015-02-26,26.07
63259,Norway,NOR,2015-02-27,25.81
63260,Norway,NOR,2015-02-28,25.19
63261,Norway,NOR,2015-03-01,23.37
63262,Norway,NOR,2015-03-02,25.27
63263,Norway,NOR,2015-03-03,25.62
63264,Norway,NOR,2015-03-04,26.39
63265,Norway,NOR,2015-03-05,27.4
63266,Norway,NOR,2015-03-06,26.03
63267,Norway,NOR,2015-03-07,22.44
63268,Norway,NOR,2015-03-08,21.48
63269,Norway,NOR,2015-03-09,25.23
63270,Norway,NOR,2015-03-10,24.37
63271,Norway,NOR,2015-03-11,25.24
63272,Norway,NOR,2015-03-12,25.76
63273,Norway,NOR,2015-03-13,25.26
63274,Norway,NOR,2015-03-14,24.39
63275,Norway,NOR,2015-03-15,24.26
63276,Norway,NOR,2015-03-16,24.41
63277,Norway,NOR,2015-03-17,24.9
63278,Norway,NOR,2015-03-18,25.78
63279,Norway,NOR,2015-03-19,25.7
63280,Norway,NOR,2015-03-20,25.81
63281,Norway,NOR,2015-03-21,24.21
63282,Norway,NOR,2015-03-22,24.31
63283,Norway,NOR,2015-03-23,24.88
63284,Norway,NOR,2015-03-24,25.93
